#Transcript position	Transcript coverage profile
0.0	4.4898875684728505
1.0	11.726285974032308
2.0	17.719316285484403
3.0	23.08975553576596
4.0	27.859536816514606
5.0	31.917417791938867
6.0	34.92260683424254
7.0	37.01158596939985
8.0	38.86198047453101
9.0	41.43365479089582
10.0	43.14070522241515
11.0	44.95278686168013
12.0	46.955951928613686
13.0	46.980828701292445
14.0	45.68203468389827
15.0	43.793632449001144
16.0	42.36866400040665
17.0	41.248487900658546
18.0	41.95253767584074
19.0	42.41783821888954
20.0	42.79452930066868
21.0	42.66210394235177
22.0	42.58161654170936
23.0	41.53821486351104
24.0	40.98932873323821
25.0	40.347511174442346
26.0	40.30217720900222
27.0	40.34803002403057
28.0	40.303805174329234
29.0	40.56941155548826
30.0	41.87009048866522
31.0	41.8333843826717
32.0	42.25318865229331
33.0	41.92003608632719
34.0	42.625088325588294
35.0	43.99190021772601
36.0	43.97271448014569
37.0	43.49513936004572
38.0	42.356820257790815
39.0	41.154338036606354
40.0	41.87766966449675
41.0	41.548362244545544
42.0	40.92140212845765
43.0	39.366186947563826
44.0	38.515407970614945
45.0	38.612199387029776
46.0	39.15049331549772
47.0	39.42928649921573
48.0	39.92756372604226
49.0	40.36131098880574
50.0	41.48581268113002
51.0	41.3172152289428
52.0	41.71420056993708
53.0	41.85820695020613
54.0	40.70995056681298
55.0	39.89248633960786
56.0	40.18242386766801
57.0	40.34077605008913
58.0	40.226362668075254
59.0	40.68634643560857
60.0	41.82366430815655
61.0	42.134579719206684
62.0	42.577038896929814
63.0	44.06444807526935
64.0	44.212043645653935
65.0	44.70927485352242
66.0	44.26128446284602
67.0	44.56551796554474
68.0	44.06889444305984
69.0	44.09121656140254
70.0	42.97004155555248
71.0	43.83370241729654
72.0	44.53359541548018
73.0	44.9495405307199
74.0	44.86932518818546
75.0	43.02381097980735
76.0	42.67415368014949
77.0	42.506559091362604
78.0	42.46247318928881
79.0	42.789515276845805
80.0	42.28056998528798
81.0	40.358146100490586
82.0	39.274369831292994
83.0	37.93435725729074
84.0	36.84884636421423
85.0	35.08330360434571
86.0	32.98763637322972
87.0	31.41455492686048
88.0	28.234310128643767
89.0	24.55312182961819
90.0	21.74150380054032
91.0	18.689219503605262
92.0	14.590741350270553
93.0	10.616680353112905
94.0	7.725800999039111
95.0	5.15132655569909
96.0	3.259639072896952
97.0	1.4226338548113093
98.0	0.4422405044740313
99.0	0.05579849464626321
