Nodos	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
29	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
																														
	Nodo	Media de tiempo		Nodo	Media de tiempo		Nodo	Media de tiempo																						
	0	0,05385331		10	0,05019331		20	0,050270393		0,050187861																				
	1	0,050344483		11	0,050214276		21	0,050176964																						
	2	0,05017731		12	0,050186483		22	0,050147107																						
	3	0,050184724		13	0,050171655		23	0,050131321																						
	4	0,050194		14	0,050188793		24	0,050243357																						
	5	0,050171414		15	0,050178931		25	0,050177036																						
	6	0,050191138		16	0,050181448		26	0,050139107																						
	7	0,050192138		17	0,050175828		27	0,050186929																						
	8	0,050228621		18	0,050191103		28	0,050275714																						
	9	0,050191552		19	0,049807517		29	0,050212069																						
