;;Tiempos de busqueda
Caracteristicas de los datos;Cantidad N de datos a ordenar;Lineal;Dicotomica
Ordenados de mayor a menor;10;0,000041;0,000250
;100;0,000266;0,000279
;1000;0,002554;0,000395
;10000;0,025495;0,001705
;100000;0,251766;0,019647
;1000000;2,505100;1,012682
;
