#Transcript position	Transcript coverage profile
0.0	2.831976373370979
1.0	8.396723089143968
2.0	13.315757255721124
3.0	18.351994311580558
4.0	22.568701091925092
5.0	25.34956460802154
6.0	27.189677556328917
7.0	28.390133930195994
8.0	28.705106464339526
9.0	29.6933984779904
10.0	30.362430771108293
11.0	31.439353220091395
12.0	33.45905104371688
13.0	34.042414461811724
14.0	33.437870525908686
15.0	32.12173999756396
16.0	31.23324361786432
17.0	29.73874534981913
18.0	29.497772787115853
19.0	29.636348784437182
20.0	29.691019829485544
21.0	29.551070693133465
22.0	29.773472505465914
23.0	29.27837329256072
24.0	29.415981499205454
25.0	29.12750762275381
26.0	29.260214908151188
27.0	28.729700971740215
28.0	28.618474935288443
29.0	28.93335740680288
30.0	29.943872780282884
31.0	30.321311497838142
32.0	31.126386672650394
33.0	31.54024406724816
34.0	32.48347000639168
35.0	32.38980103673587
36.0	32.04645675453962
37.0	31.03202774130108
38.0	29.940266845289386
39.0	28.912765817973195
40.0	29.258150477394956
41.0	29.229805583914303
42.0	29.158900587035344
43.0	28.86542148822106
44.0	28.580617477940567
45.0	28.67102315285419
46.0	28.81719799894243
47.0	29.305115894212403
48.0	30.020991105764995
49.0	30.06753824508644
50.0	30.984746695138877
51.0	31.56376348197266
52.0	31.591024836233768
53.0	32.29416410196131
54.0	31.85282220146177
55.0	31.265626255846172
56.0	32.098254241947046
57.0	32.96077316105802
58.0	32.57275026105223
59.0	33.229232984693795
60.0	33.40437967511792
61.0	32.846366482884946
62.0	32.89816427591847
63.0	33.18282936263096
64.0	33.034866491432226
65.0	32.58190119914842
66.0	31.581706902324488
67.0	31.600440728532686
68.0	30.70913659916366
69.0	29.9843582741466
70.0	28.902408326094438
71.0	29.07323419163865
72.0	29.532077862637987
73.0	29.673213034857394
74.0	29.333899008340023
75.0	28.559262717700967
76.0	28.57847970226242
77.0	28.31866431276202
78.0	28.046311091584567
79.0	28.28273226501355
80.0	28.362800798791056
81.0	27.71252788012417
82.0	27.23985047445423
83.0	26.29275902516076
84.0	25.263441515342752
85.0	24.115153397815426
86.0	22.88693035088552
87.0	22.255177997769987
88.0	21.31894326681899
89.0	19.92302006040397
90.0	18.429486238383454
91.0	16.95993215795232
92.0	14.526418402157027
93.0	11.395815431547756
94.0	8.641524052799578
95.0	5.704418920526499
96.0	2.8149669079241955
97.0	0.8856316183759924
98.0	0.2595511055727469
99.0	0.043453350482681466
