ZINC000003918428/log.txt:   1        -12.2      0.000      0.000
ZINC000012503187/log.txt:   1        -11.7      0.000      0.000
ZINC000006716957/log.txt:   1        -11.6      0.000      0.000
ZINC000000598829/log.txt:   1        -11.5      0.000      0.000
ZINC000003873921/log.txt:   1        -11.4      0.000      0.000
*ZINC000003813083/log.txt:   1        -11.3      0.000      0.000
*ZINC000001996117/log.txt:   1        -11.2      0.000      0.000
ZINC000000002688/log.txt:   1        -11.0      0.000      0.000
ZINC000000896717/log.txt:   1        -11.1      0.000      0.000
ZINC000001552174/log.txt:   1        -11.0      0.000      0.000

ZINC000003776633/log.txt:   1        -11.0      0.000      0.000
ZINC000003810860/log.txt:   1        -11.1      0.000      0.000
ZINC000003830321/log.txt:   1        -11.2      0.000      0.000
ZINC000003881345/log.txt:   1        -11.0      0.000      0.000
ZINC000064033452/log.txt:   1        -11.1      0.000      0.000
ZINC000068202099/log.txt:   1        -11.2      0.000      0.000
ZINC000100016058/log.txt:   1        -11.0      0.000      0.000
