id_sonda	id_gen
117_at	['ENSG00000173110', 'ENSG00000225217']
1255_g_at	['ENSG00000048545', 'ENSG00000290147']
1294_at	['ENSG00000182179', 'ENSG00000283726']
1487_at	['ENSG00000173153', 'ENSG00000215572']
1494_f_at	['ENSG00000198077', 'ENSG00000255974']
1552283_s_at	['ENSG00000188818', 'ENSG00000206077']
1552396_at	['ENSG00000101448', 'ENSG00000229900', 'ENSG00000243543', 'ENSG00000291238']
1552411_at	['ENSG00000186579', 'ENSG00000187082']
1552412_a_at	['ENSG00000186579', 'ENSG00000187082']
1552421_a_at	['ENSG00000141979', 'ENSG00000269058']
1552449_a_at	['ENSG00000188076', 'ENSG00000268320']
1552456_a_at	['ENSG00000182315', 'ENSG00000196589', 'ENSG00000205718', 'ENSG00000230522', 'ENSG00000237247']
1552477_a_at	['ENSG00000117595', 'ENSG00000289700']
1552576_at	['ENSG00000116127', 'ENSG00000163016', 'ENSG00000290727']
1552583_s_at	['ENSG00000243064', 'ENSG00000291052']
1552586_at	['ENSG00000141255', 'ENSG00000167723']
1552607_at	['ENSG00000272681', 'ENSG00000279245']
1552609_s_at	['ENSG00000183709', 'ENSG00000197110']
1552618_at	['ENSG00000135823', 'ENSG00000243155']
1552621_at	['ENSG00000168255', 'ENSG00000228049', 'ENSG00000285437', 'ENSG00000285596', 'ENSG00000290872', 'ENSG00000291092', 'ENSG00000291154']
1552622_s_at	['ENSG00000168255', 'ENSG00000228049', 'ENSG00000285437', 'ENSG00000285596', 'ENSG00000290872', 'ENSG00000291092', 'ENSG00000291154', 'ENSG00000291178']
1552630_a_at	['ENSG00000080603', 'ENSG00000282034']
1552632_a_at	['ENSG00000141337', 'ENSG00000267009']
1552641_s_at	['ENSG00000160072', 'ENSG00000197785']
1552649_a_at	['ENSG00000092871', 'ENSG00000267618']
1552651_a_at	['ENSG00000092871', 'ENSG00000267618']
1552698_at	['ENSG00000284130', 'ENSG00000291240']
1552703_s_at	['ENSG00000137752', 'ENSG00000204397']
1552711_a_at	['ENSG00000182224', 'ENSG00000280046']
1552717_s_at	['ENSG00000143702', 'ENSG00000154608']
1552729_at	['ENSG00000233016', 'ENSG00000274998', 'ENSG00000276161', 'ENSG00000280496', 'ENSG00000281808']
1552777_a_at	['ENSG00000164520', 'ENSG00000285991']
1552785_at	['ENSG00000196381', 'ENSG00000290988']
1552846_s_at	['ENSG00000188060', 'ENSG00000230997']
1552860_at	['ENSG00000275553', 'ENSG00000288607', 'ENSG00000288616', 'ENSG00000288631']
1552880_at	['ENSG00000120341', 'ENSG00000254154']
1552895_a_at	['ENSG00000163046', 'ENSG00000290438', 'ENSG00000290522', 'ENSG00000290568']
1552910_at	['ENSG00000161640', 'ENSG00000221125']
1552919_at	['ENSG00000163633', 'ENSG00000285458']
1553002_at	['ENSG00000186562', 'ENSG00000186599']
1553023_a_at	['ENSG00000255346', 'ENSG00000290203']
1553061_at	['ENSG00000179420', 'ENSG00000290761']
1553067_a_at	['ENSG00000211451', 'ENSG00000259169']
1553107_s_at	['ENSG00000145833', 'ENSG00000181904']
1553141_at	['ENSG00000179630', 'ENSG00000281883']
1553146_at	['ENSG00000163424', 'ENSG00000251012']
1553158_at	['ENSG00000174007', 'ENSG00000201441']
1553215_s_at	['ENSG00000216937', 'ENSG00000260795']
1553247_a_at	['ENSG00000196826', 'ENSG00000242852']
1553267_a_at	['ENSG00000138767', 'ENSG00000230183']
1553303_at	['ENSG00000166455', 'ENSG00000260643']
1553323_a_at	['ENSG00000166762', 'ENSG00000205771', 'ENSG00000291053']
1553340_s_at	['ENSG00000104643', 'ENSG00000164729', 'ENSG00000177710', 'ENSG00000259224', 'ENSG00000267773']
1553366_s_at	['ENSG00000163126', 'ENSG00000213337']
1553392_at	['ENSG00000172421', 'ENSG00000240758', 'ENSG00000272601']
1553396_a_at	['ENSG00000244607', 'ENSG00000280571']
1553432_s_at	['ENSG00000155719', 'ENSG00000257838', 'ENSG00000290866']
1553442_a_at	['ENSG00000152910', 'ENSG00000287694']
1553450_s_at	['ENSG00000176715', 'ENSG00000180422']
1553474_at	['ENSG00000166351', 'ENSG00000183206', 'ENSG00000230031', 'ENSG00000233917', 'ENSG00000278522']
1553479_at	['ENSG00000105429', 'ENSG00000167619']
1553518_at	['ENSG00000215378', 'ENSG00000232039']
1553521_at	['ENSG00000176782', 'ENSG00000177023']
1553530_a_at	['ENSG00000150093', 'ENSG00000269378']
