#Transcript position	Transcript coverage profile
0.0	5.9058895327162695
1.0	16.879671538932406
2.0	26.46172516248756
3.0	36.893642090026944
4.0	45.49932972478402
5.0	51.67056078730145
6.0	55.486977613290364
7.0	58.27780624461862
8.0	59.09217108106452
9.0	61.57731097515625
10.0	63.38359744765017
11.0	66.27335058565696
12.0	69.94900896317351
13.0	70.93528412345061
14.0	69.31778019609213
15.0	66.35945663784052
16.0	64.2884679830914
17.0	61.4080300239785
18.0	61.104448450226855
19.0	61.58125054425362
20.0	61.55083309164459
21.0	60.932967789800195
22.0	61.51295513941324
23.0	60.83005321320062
24.0	60.82312850043633
25.0	60.363312898759574
26.0	60.3532239936347
27.0	59.71912314182351
28.0	59.52158325131891
29.0	60.47753005048694
30.0	62.240508502046964
31.0	62.38580757739211
32.0	63.79481420242975
33.0	64.96946025792599
34.0	66.3992514272089
35.0	66.17168789380439
36.0	65.8589567472357
37.0	64.09956408131288
38.0	61.415009778139776
39.0	59.573521194473294
40.0	60.21108062666038
41.0	59.74047478582667
42.0	59.3889723471315
43.0	59.36309985285064
44.0	59.606876262133426
45.0	59.75204522752969
46.0	60.40119989960023
47.0	60.883008035379504
48.0	62.11482370603151
49.0	62.373070256159515
50.0	64.05341311227497
51.0	65.43072267936569
52.0	65.67829464777398
53.0	66.86477516924317
54.0	65.84753530720995
55.0	65.44363745992368
56.0	67.18005529603485
57.0	68.78037412680747
58.0	68.5944330577143
59.0	69.99336811906088
60.0	69.811354680125
61.0	68.66412952645732
62.0	67.88349911354351
63.0	68.940619628031
64.0	68.30201050091195
65.0	68.22440416758218
66.0	66.84583489768936
67.0	66.89651637937624
68.0	64.80907668326559
69.0	63.251890395406015
70.0	60.948886381988196
71.0	61.00749305227696
72.0	61.62519300311444
73.0	61.731787525780824
74.0	61.171404562223174
75.0	59.42296082486206
76.0	58.67455763669733
77.0	58.04234851274876
78.0	57.835966986227525
79.0	58.22131530650845
80.0	57.94763018929104
81.0	56.42513191019228
82.0	55.10153480363309
83.0	53.29453766271955
84.0	51.27531668539718
85.0	49.06506610724432
86.0	46.65273903466569
87.0	45.452108709758704
88.0	43.39576240959966
89.0	40.57294710050912
90.0	37.68423207159134
91.0	34.82415823391618
92.0	29.423190157320565
93.0	22.667375637081058
94.0	16.891171045576584
95.0	11.159162262638926
96.0	5.747677666944033
97.0	1.878480358885227
98.0	0.5610502281063935
99.0	0.10837546087943786
