#Transcript position	Transcript coverage profile
0.0	7.298913049192805
1.0	20.964463511169413
2.0	32.80796006794171
3.0	45.68329982883551
4.0	57.18105134505277
5.0	65.01823288763
6.0	69.65851863904285
7.0	71.99896381840378
8.0	73.43964153995609
9.0	77.00478101027376
10.0	79.28861518160596
11.0	83.99739274534119
12.0	88.3508521002825
13.0	89.23724530959183
14.0	88.23541061795655
15.0	84.26062173053894
16.0	80.79924799944979
17.0	78.56628044832912
18.0	77.88334313179246
19.0	78.56374858781606
20.0	77.78963929676779
21.0	76.19935880976354
22.0	76.23932915565427
23.0	74.37098200425721
24.0	74.16865455399325
25.0	73.77968185472189
26.0	74.15503841200649
27.0	74.0067326076425
28.0	74.71130095183962
29.0	75.61731773928413
30.0	78.33793313425387
31.0	78.62076313068123
32.0	80.34041935501688
33.0	80.75200952083786
34.0	81.34404323740742
35.0	80.9994463359053
36.0	80.39445842773371
37.0	77.93291023522559
38.0	75.21438493043252
39.0	73.15473522565172
40.0	74.6716772363492
41.0	74.81626369538549
42.0	74.3266714640544
43.0	75.0604704401423
44.0	75.39486707378741
45.0	75.93133594389943
46.0	77.21560816261828
47.0	78.45069674576199
48.0	79.1781830227474
49.0	79.67957920224742
50.0	81.90209483304295
51.0	83.29402795012754
52.0	83.2896492349395
53.0	83.49583674382193
54.0	82.61197571929787
55.0	82.99919873771962
56.0	85.06644782382445
57.0	86.51896334140844
58.0	86.52957190675717
59.0	88.45480219254068
60.0	88.66450873470605
61.0	86.91745940344293
62.0	86.0672388004136
63.0	87.73300271495897
64.0	87.59793963718414
65.0	87.50501739612545
66.0	86.20320123650494
67.0	85.50078461803855
68.0	82.27548529771153
69.0	80.64693338736508
70.0	77.70296887874876
71.0	78.50534879141576
72.0	79.09383513402443
73.0	78.55890538462297
74.0	78.48381053552293
75.0	76.27213149080809
76.0	75.13369093041878
77.0	73.93774437410359
78.0	73.5602179212802
79.0	74.6697501642321
80.0	74.15157629308095
81.0	71.60528831250839
82.0	70.99386067971236
83.0	70.23089986614268
84.0	67.34935105406596
85.0	64.50928922908783
86.0	62.219694891117776
87.0	59.87407516002959
88.0	56.20476013397897
89.0	52.059173099164454
90.0	47.92989548968028
91.0	43.64425248232086
92.0	37.27598096687807
93.0	28.57329053170489
94.0	21.16553295428473
95.0	14.098711165866153
96.0	6.991396864576136
97.0	2.3092096191251636
98.0	0.6799316660637903
99.0	0.11036838963310304
