id_gen	RA271	RA273	RA281	RA282	RA288	RA289	Media	Error estándar %
ENSG00000140057	118.0	45.3	58.7	65.1	54.8	18.7	60.1	20.265793398827682
ENSG00000215883	71.6	24.4	12.0	85.7	36.2	39.4	44.883333333333326	23.444408765956943
