id_sonda	FNB4	FNB36	FNB37	FNB39	FNB40	FNB41	FNB43	FNB44A	FNB44B	FNB45	FNB6	FNB7	FNB8	FNB12	FNB29	FNB32	FNB33	FNB35	Media	Error estándar %
201467_s_at	9.1	31.5	54.7	4.4	44.2	4.1	13.9	32.5	45.4	3.0	87.5	14.1	14.8	8.0	72.6	6.9	12.1	12.1	26.161111111111115	22.07577218721189
201481_s_at	22.1	195.5	78.5	25.1	31.6	33.8	33.1	50.3	67.0	90.4	72.0	32.5	60.3	29.9	17.9	57.2	372.1	68.6	74.32777777777778	26.10830730062829
201495_x_at	11.4	3.8	181.2	6.2	6.6	2.9	12.0	8.0	7.9	3.6	7.2	13.9	6.1	4.7	16.6	13.4	7.3	9.9	17.927777777777774	52.293641482042815
201497_x_at	41.6	116.1	2820.0	38.8	381.0	188.6	347.4	771.7	858.4	275.3	142.5	149.0	67.5	203.7	212.1	12.4	68.6	65.8	375.5833333333333	39.916766699557385
201525_at	46.1	198.4	1722.5	867.2	735.3	173.5	395.8	2722.5	376.1	1069.3	3811.5	540.6	188.4	605.1	481.7	431.2	846.4	1057.5	903.838888888889	24.551316994392124
201539_s_at	288.9	807.7	3251.8	1115.6	1395.5	286.5	1330.1	2026.3	335.0	406.9	6204.2	784.4	424.2	1316.7	415.9	510.4	1229.9	6683.7	1600.7611111111116	27.382811372998013
201547_at	127.9	8.2	8.9	10.9	3.6	4.5	3.3	7.8	27.8	27.5	7.1	3.8	21.5	21.4	47.3	65.5	16.4	39.1	25.138888888888893	28.121686137812123
201610_at	15.3	4.8	4.8	6.5	7.4	3.5	4.4	10.9	5.7	6.1	5.5	9.2	8.3	15.3	13.7	4.7	53.6	10.6	10.572222222222223	24.63838344137688
201650_at	3.0	1.8	21.9	1.9	1.4	2.8	1.4	1.4	1.3	2.2	2.4	3.2	2.0	1.1	2.6	1.8	5.5	3.3	3.3888888888888884	32.01290462124783
201679_at	182.6	89.5	32.3	41.6	40.0	57.3	77.4	7.3	8.2	21.9	48.2	18.4	76.4	10.3	23.2	55.0	12.0	98.1	49.983333333333334	20.058084489290785
201691_s_at	27.5	4.3	38.8	2.0	1.7	28.9	4.2	15.4	50.6	1.5	8.0	41.4	13.9	20.5	57.7	5.2	11.1	31.6	20.238888888888894	20.238944242281605
201759_at	112.5	92.2	87.4	18.9	23.0	3.8	5.0	59.7	33.7	44.3	17.8	28.6	46.1	6.3	11.4	12.3	50.0	14.9	37.10555555555555	20.03377239409005
201793_x_at	167.2	13.5	19.2	21.2	13.9	13.4	14.8	14.4	14.8	12.0	85.1	11.8	14.9	66.9	16.8	84.7	67.2	20.8	37.36666666666667	25.522758132081208
