#Transcript position	Transcript coverage profile
0.0	4.55236854958069
1.0	12.699236133865414
2.0	20.261698428577294
3.0	27.96667552972945
4.0	34.91251430318421
5.0	40.303570309324286
6.0	43.909593257396786
7.0	46.25867636224364
8.0	47.33739868902131
9.0	49.61025913207334
10.0	51.47609444319298
11.0	53.49722167350573
12.0	56.284794374320185
13.0	56.88712857640112
14.0	56.11852566184265
15.0	54.310491415926805
16.0	52.23518871977254
17.0	50.2674865123712
18.0	49.9079799965806
19.0	50.41731413094352
20.0	49.57813629610141
21.0	47.95456474418825
22.0	47.73531927736505
23.0	46.88732502308888
24.0	46.89989318834776
25.0	46.93002458201294
26.0	47.063514233209375
27.0	47.07810122379064
28.0	47.08000052605969
29.0	47.868126422012175
30.0	49.24401248269312
31.0	49.44784013259463
32.0	50.65507447807779
33.0	51.566459622902435
34.0	52.11031791012992
35.0	51.477192736379635
36.0	51.396636522085295
37.0	49.96132537137995
38.0	48.28273559529899
39.0	47.89693923943682
40.0	48.4276347591032
41.0	47.55392991184521
42.0	47.14501415441776
43.0	47.52267682225346
44.0	47.256313773053165
45.0	47.48437195993682
46.0	48.64377977959317
47.0	49.23007415053747
48.0	49.613524673097096
49.0	49.89408915867606
50.0	51.04897971175733
51.0	51.1200177286706
52.0	51.19855054547716
53.0	52.25657487586132
54.0	52.097115445474344
55.0	51.7614791216616
56.0	52.97603187786653
57.0	53.79533877361927
58.0	53.99778738354941
59.0	55.063597360068954
60.0	54.572941689440505
61.0	54.038851360910755
62.0	53.00252198986862
63.0	53.4634130914959
64.0	52.9190206149574
65.0	53.28660952084433
66.0	53.22779992953329
67.0	53.230880010197836
68.0	51.43605651572552
69.0	50.167731165098864
70.0	48.36078751430554
71.0	48.52819064524944
72.0	48.50345700095769
73.0	48.185165789045
74.0	48.03316595033466
75.0	47.137952085067724
76.0	46.43360921118007
77.0	45.68496152792453
78.0	45.59799200618776
79.0	46.20086093321609
80.0	45.91577393960718
81.0	44.19220923992454
82.0	43.574754334063314
83.0	43.48714451434695
84.0	41.9670745799976
85.0	40.44996214335289
86.0	39.14252484821041
87.0	37.85421227862984
88.0	36.210427814173705
89.0	33.15662281180818
90.0	30.754835166191373
91.0	28.4050121620328
92.0	24.05244198803807
93.0	17.932148994893122
94.0	13.18151070153108
95.0	8.607242865235813
96.0	4.554366130683941
97.0	1.5028367059284304
98.0	0.4215587453682982
99.0	0.04123448574880938
