#Transcript position	Transcript coverage profile
0.0	4.55236854958069
1.0	12.699236133865401
2.0	20.261698428577294
3.0	27.96667552972945
4.0	34.912514303184224
5.0	40.30357030932431
6.0	43.909593257396786
7.0	46.258676362243634
8.0	47.33739868902129
9.0	49.6102591320733
10.0	51.47609444319299
11.0	53.497221673505706
12.0	56.28479437432016
13.0	56.88712857640112
14.0	56.11852566184261
15.0	54.31049141592676
16.0	52.23518871977253
17.0	50.26748651237119
18.0	49.90797999658059
19.0	50.4173141309435
20.0	49.57813629610139
21.0	47.954564744188225
22.0	47.73531927736504
23.0	46.88732502308888
24.0	46.89989318834777
25.0	46.93002458201295
26.0	47.063514233209375
27.0	47.078101223790654
28.0	47.0800005260597
29.0	47.86812642201216
30.0	49.24401248269308
31.0	49.44784013259466
32.0	50.65507447807777
33.0	51.566459622902435
34.0	52.11031791012994
35.0	51.47719273637961
36.0	51.396636522085316
37.0	49.961325371379914
38.0	48.28273559529902
39.0	47.89693923943684
40.0	48.42763475910317
41.0	47.553929911845216
42.0	47.14501415441776
43.0	47.52267682225348
44.0	47.2563137730532
45.0	47.48437195993684
46.0	48.64377977959317
47.0	49.230074150537476
48.0	49.61352467309709
49.0	49.89408915867607
50.0	51.048979711757354
51.0	51.120017728670604
52.0	51.198550545477154
53.0	52.25657487586135
54.0	52.09711544547433
55.0	51.76147912166163
56.0	52.97603187786654
57.0	53.79533877361929
58.0	53.99778738354944
59.0	55.06359736006894
60.0	54.57294168944051
61.0	54.03885136091078
62.0	53.00252198986864
63.0	53.463413091495894
64.0	52.91902061495739
65.0	53.28660952084436
66.0	53.22779992953331
67.0	53.230880010197865
68.0	51.436056515725554
69.0	50.16773116509893
70.0	48.360787514305564
71.0	48.528190645249424
72.0	48.503457000957724
73.0	48.185165789045
74.0	48.03316595033467
75.0	47.13795208506773
76.0	46.433609211180084
77.0	45.68496152792452
78.0	45.597992006187745
79.0	46.20086093321607
80.0	45.91577393960716
81.0	44.19220923992453
82.0	43.57475433406331
83.0	43.48714451434693
84.0	41.96707457999761
85.0	40.44996214335286
86.0	39.142524848210435
87.0	37.85421227862983
88.0	36.210427814173705
89.0	33.15662281180819
90.0	30.75483516619137
91.0	28.405012162032797
92.0	24.05244198803808
93.0	17.932148994893126
94.0	13.181510701531073
95.0	8.607242865235815
96.0	4.554366130683941
97.0	1.5028367059284302
98.0	0.42155874536829824
99.0	0.04123448574880938
