#Transcript position	Transcript coverage profile
0.0	5.900661112322436
1.0	15.556298985859879
2.0	24.105632100331817
3.0	31.771818990652932
4.0	39.397435991401665
5.0	46.00439036676013
6.0	51.19127056632554
7.0	53.94775981876165
8.0	56.54310374359222
9.0	59.7861393717001
10.0	61.55237984034224
11.0	63.28184777676287
12.0	66.33294727030881
13.0	67.43950058221121
14.0	66.35569370114845
15.0	64.11675064814882
16.0	62.965417100974555
17.0	63.0894944745689
18.0	64.20015992701917
19.0	65.51937677816719
20.0	65.54880627889547
21.0	64.54499422447441
22.0	63.732211495161636
23.0	62.375319103552286
24.0	61.22632470947823
25.0	61.08586163655846
26.0	61.07752049717375
27.0	60.414104221684234
28.0	59.95760870620683
29.0	60.32262774936824
30.0	61.83129852880505
31.0	61.62951344012425
32.0	62.104065155282086
33.0	62.36456870241454
34.0	63.49177734851625
35.0	64.42981222889588
36.0	64.80131744192101
37.0	64.9586434212572
38.0	63.491127353971045
39.0	62.54742214928186
40.0	62.53530948198726
41.0	61.041211754501894
42.0	59.74298198002946
43.0	58.50488056194587
44.0	58.56035494508638
45.0	59.236284102314904
46.0	60.144198420203544
47.0	59.77003929055719
48.0	59.24489536389757
49.0	59.47919082031659
50.0	60.523586410068916
51.0	61.55818514950534
52.0	61.494920740631144
53.0	61.767064726225186
54.0	60.10672395925563
55.0	58.692895077000614
56.0	58.82859651583614
57.0	59.07148687385102
58.0	58.67196657072803
59.0	59.13513371711421
60.0	60.1856358024097
61.0	61.36099172368411
62.0	62.32058523644267
63.0	64.1766598350585
64.0	64.66252135341577
65.0	65.6995980571574
66.0	66.12498654469923
67.0	66.81364815822177
68.0	66.01978184996408
69.0	65.43699487815107
70.0	63.67801622917908
71.0	63.91619507535828
72.0	64.30616834781173
73.0	63.907679131486105
74.0	63.6867002606947
75.0	61.8138543167706
76.0	60.540736482884654
77.0	59.89164703316867
78.0	60.30299215502295
79.0	60.26078638748747
80.0	58.77719647174855
81.0	56.15532830592204
82.0	54.43441308558877
83.0	52.10626262411422
84.0	50.403198410809566
85.0	48.03541500616684
86.0	45.60046033583563
87.0	43.69817628560265
88.0	38.89432258488508
89.0	33.82615582761616
90.0	29.757292511140175
91.0	25.546927927099027
92.0	20.277881402339585
93.0	14.677972158264929
94.0	10.722996102826597
95.0	7.0402086826362185
96.0	4.271214858585035
97.0	1.835419540856363
98.0	0.642547062185796
99.0	0.09847815463691863
