10000,0.001867,3.143700;
20000,0.000935,3.139613;
40000,0.001889,3.139988;
80000,0.003759,3.142009;
160000,0.006708,3.140880;
320000,0.011624,3.141841;
640000,0.022733,3.141791;
1280000,0.045648,3.141661;
2560000,0.091072,3.141344;
5120000,0.181746,3.141712;
10240000,0.363646,3.141542;
20480000,0.694665,3.141653;
40960000,1.393663,3.141692;
