ID_REF	VALUE
1007_s_at	10.58827738
1053_at	7.67628142
117_at	5.475440539
121_at	7.465659161
1255_g_at	3.209777026
1294_at	6.967489718
1316_at	4.413389513
1320_at	4.957459046
1405_i_at	8.244074441
1431_at	3.202256515
1438_at	8.425987163
1487_at	8.317339548
1494_f_at	5.643234119
1552256_a_at	8.66574791
1552257_a_at	8.78317775
1552258_at	4.46762734
1552261_at	4.186018126
1552263_at	6.451427381
1552264_a_at	7.789797139
1552266_at	3.65087138
1552269_at	3.501084524
1552271_at	5.560124315
1552272_a_at	5.359737329
1552274_at	5.676805508
1552275_s_at	6.080905338
1552276_a_at	5.23974594
1552277_a_at	7.514597475
1552278_a_at	4.991839394
1552279_a_at	6.236686885
1552280_at	3.292369215
1552281_at	7.332903657
1552283_s_at	4.412670229
1552286_at	5.223827738
1552287_s_at	7.286784783
1552288_at	3.870274949
1552289_a_at	4.925384714
1552291_at	6.182115515
1552293_at	4.052386656
1552295_a_at	6.801650485
1552296_at	3.642685795
1552299_at	5.258400316
1552301_a_at	3.988128687
1552302_at	3.188906178
1552303_a_at	4.839537845
1552304_at	4.011202519
1552306_at	4.441577899
1552307_a_at	4.906888295
1552309_a_at	6.19841114
1552310_at	6.672734541
1552311_a_at	6.813176927
1552312_a_at	5.474695876
1552314_a_at	4.274164867
1552315_at	5.577092084
1552316_a_at	5.568635547
1552318_at	4.410551181
1552319_a_at	3.795687843
1552320_a_at	3.194734612
1552321_a_at	3.170226146
1552322_at	2.997029259
1552323_s_at	3.884516293
1552325_at	2.818342025
1552326_a_at	4.052386656
1552327_at	3.606384776
1552329_at	7.435672801
1552330_at	5.850908263
1552332_at	6.906377945
1552334_at	6.185238936
1552335_at	4.971442343
1552337_s_at	4.104957634
1552338_at	3.830753746
1552340_at	4.370646284
1552343_s_at	5.454368978
1552344_s_at	5.769512466
1552347_at	7.977246721
1552348_at	7.707282408
1552349_a_at	5.754920596
1552354_at	4.352669164
1552355_s_at	4.936305509
1552359_at	2.940701675
1552360_a_at	6.153771461
1552362_a_at	6.101329636
1552364_s_at	6.347089211
1552365_at	5.852784712
1552367_a_at	4.493188497
1552368_at	3.138378523
1552370_at	7.210230685
1552372_at	2.718800578
1552373_s_at	2.980240507
1552375_at	3.930367338
1552377_s_at	5.964315875
1552378_s_at	5.542059439
1552379_at	2.678485187
1552381_at	3.027441089
1552383_at	6.833501347
1552384_a_at	4.619902662
1552386_at	3.355463256
1552388_at	5.782087764
1552389_at	3.286391825
1552390_a_at	3.095762918
1552391_at	3.464061567
1552393_at	3.043293415
1552394_a_at	2.780023728
1552395_at	6.952695274
1552396_at	3.83405947
1552398_a_at	3.807386158
1552399_a_at	3.833041207
1552400_a_at	3.933786283
1552401_a_at	3.224220266
1552402_at	4.278443653
1552405_at	4.573509817
1552408_at	3.203370668
1552409_a_at	5.823403968
1552410_at	3.852019252
1552411_at	5.009654116
1552412_a_at	3.256262317
1552414_at	3.223310684
1552415_a_at	3.754083873
1552417_a_at	5.279055869
1552418_at	4.299741127
1552419_s_at	5.374816036
1552421_a_at	3.178441094
1552422_at	3.925698911
1552423_at	5.398603693
1552424_at	3.23423005
1552425_a_at	4.58658337
1552426_a_at	9.0622082
1552427_at	4.642420552
1552430_at	2.805098314
1552432_at	4.692916725
1552436_a_at	5.04649596
1552438_a_at	3.149437242
1552439_s_at	2.731723515
1552440_at	3.772356152
1552445_a_at	2.966703311
1552448_a_at	2.887925851
1552449_a_at	3.217514476
1552450_a_at	4.891943941
1552452_at	3.117675608
1552453_a_at	3.238623403
1552455_at	7.657875051
1552456_a_at	4.438708188
1552457_a_at	3.285424569
1552458_at	3.1183428
1552459_a_at	3.828602789
1552461_at	2.966115129
1552463_at	2.983141
1552466_x_at	2.913173297
1552467_at	6.085405488
1552468_a_at	3.954934126
1552470_a_at	5.893963133
1552472_a_at	5.515743785
1552473_at	7.424989437
1552474_a_at	6.636282791
1552476_s_at	6.664358059
1552477_a_at	8.008858553
1552478_a_at	6.03823771
1552480_s_at	2.568795717
1552481_s_at	4.662262833
1552482_at	3.418734656
1552484_at	5.736642284
1552485_at	5.515679483
1552486_s_at	6.145117409
1552487_a_at	2.617556207
1552489_s_at	2.610222999
1552490_at	3.34556429
1552491_at	4.746085743
1552493_s_at	3.872318359
1552494_at	3.97059038
1552496_a_at	5.265500856
1552497_a_at	5.344411285
1552498_at	3.616656613
1552499_a_at	3.999259908
1552501_a_at	5.390191177
1552502_s_at	5.126767056
1552503_at	4.333913181
1552504_a_at	6.751714944
1552506_at	4.445486267
1552507_at	3.658193715
1552508_at	4.227459713
1552509_a_at	3.210517943
1552510_at	8.014521988
1552511_a_at	4.724563372
1552514_at	3.174408791
1552515_at	3.423526928
1552516_a_at	5.316454095
1552518_s_at	4.449167571
1552519_at	6.725069701
1552520_at	3.081068737
1552521_a_at	2.804068367
1552522_at	2.876668826
1552523_a_at	3.402392861
1552524_at	6.078802968
1552526_at	3.842973533
1552528_at	6.427826706
1552531_a_at	3.52913789
1552532_a_at	3.70051497
1552535_at	4.476281217
1552536_at	3.958090007
1552538_a_at	3.235767018
1552540_s_at	5.137435387
1552541_at	5.662161125
1552542_s_at	3.695849274
1552543_a_at	3.387142365
1552544_at	3.362314514
1552546_a_at	3.469194668
1552548_at	3.701851553
1552549_a_at	5.235713964
1552552_s_at	3.718713902
1552553_a_at	4.236598878
1552554_a_at	3.239236635
1552555_at	5.484150925
1552557_a_at	2.839577002
1552558_a_at	5.563200879
1552559_a_at	3.712832972
1552562_at	3.609690762
1552563_a_at	3.585392366
1552564_at	2.940318249
1552566_at	3.311773711
1552568_at	3.94980892
1552569_a_at	4.049288798
1552570_at	3.507145538
1552572_a_at	2.580317283
1552573_s_at	3.701757382
1552575_a_at	4.650183918
1552576_at	4.110878699
1552578_a_at	3.060615693
1552579_a_at	3.476264735
1552580_at	4.56314502
1552582_at	3.224585482
1552583_s_at	3.675310791
1552584_at	5.542701246
1552585_s_at	3.110599198
1552586_at	4.83427725
1552587_at	3.043618744
1552588_a_at	2.991623953
1552590_a_at	3.34149046
1552592_at	2.725493397
1552594_at	5.411623044
1552596_at	5.64165219
1552598_at	3.772682767
1552599_at	2.991691851
1552602_at	4.344195244
1552604_at	3.95142992
1552605_s_at	3.425513188
1552607_at	3.983410729
1552608_at	4.263012288
1552609_s_at	3.818177801
1552610_a_at	8.730233706
1552611_a_at	6.113653894
1552612_at	7.089630807
1552613_s_at	6.513547124
1552615_at	7.509721593
1552616_a_at	4.921098904
1552617_a_at	8.527674123
1552618_at	7.256594721
1552619_a_at	6.754128002
1552620_at	6.540413328
1552621_at	8.569551236
1552622_s_at	7.856452114
1552623_at	5.530588779
1552625_a_at	6.15931249
1552626_a_at	4.33273526
1552627_a_at	5.689713036
1552628_a_at	8.44150472
1552629_a_at	3.233888946
1552630_a_at	5.96327753
1552631_a_at	4.82507744
1552632_a_at	3.888357927
1552633_at	5.369898799
1552634_a_at	6.048745836
1552637_at	3.378785963
1552639_at	5.629383043
1552641_s_at	6.020731295
1552643_at	4.319700515
1552644_a_at	4.410301938
1552646_at	5.233616697
1552648_a_at	6.46126313
1552649_a_at	5.404387732
1552651_a_at	5.992174829
1552652_at	6.365454099
1552656_s_at	5.467494677
1552657_a_at	4.650519544
1552658_a_at	3.361935646
1552660_a_at	5.098592362
1552661_at	2.50827797
1552662_a_at	4.088678172
1552663_a_at	5.053823965
1552664_at	5.26317017
1552665_at	4.056593321
1552666_a_at	2.696492839
1552667_a_at	5.395816818
1552669_at	3.642793945
1552670_a_at	5.996331989
1552671_a_at	4.867492018
1552672_a_at	4.723877835
1552673_at	3.084023007
1552674_at	2.930972802
1552675_at	2.88126191
1552676_at	5.505941038
1552677_a_at	5.205303424
1552678_a_at	5.545070849
1552680_a_at	3.918253297
1552682_a_at	4.393711829
1552684_a_at	4.882246589
1552685_a_at	4.900580247
1552686_at	4.100583351
1552687_a_at	3.784586021
1552689_at	5.803465833
1552690_a_at	4.386633515
1552691_at	2.760378699
1552693_at	3.081068737
1552694_at	2.725167536
1552695_a_at	3.536782521
1552696_at	4.084956323
1552698_at	5.295111256
1552701_a_at	8.23825901
1552703_s_at	7.313400585
1552705_at	3.152679612
1552708_a_at	2.891829734
1552711_a_at	6.342577556
1552712_a_at	3.595280863
1552713_a_at	3.235408165
1552714_at	2.936327219
1552715_a_at	3.050027659
1552716_at	5.365972204
1552717_s_at	4.835725871
1552718_at	4.44782404
1552719_at	5.407145509
1552721_a_at	3.152937039
1552722_at	2.816026055
1552724_at	4.765276606
1552725_s_at	3.892362314
1552726_at	3.682319645
1552727_s_at	3.442399761
1552729_at	6.051793352
1552730_at	4.046857572
1552731_at	2.890033218
1552732_at	2.706278789
1552733_at	4.390295105
1552734_at	3.252057771
1552735_at	3.560312504
1552736_a_at	3.04866855
1552737_s_at	4.926075288
1552738_a_at	3.306191485
1552739_s_at	5.218690086
1552740_at	4.773408175
1552742_at	5.197543592
1552743_at	3.430803067
1552745_at	2.906253287
1552747_a_at	2.973550703
1552749_a_at	7.412804834
1552750_at	3.018679671
1552751_a_at	4.703704739
1552752_a_at	3.101137781
1552754_a_at	2.865967339
1552755_at	3.813140128
1552757_s_at	3.079224963
1552758_at	3.204735681
1552760_at	3.082857184
1552761_at	5.675118581
1552763_at	2.605138561
1552765_x_at	2.678485187
1552766_at	3.694864452
1552767_a_at	7.510717287
1552768_at	5.743572262
1552769_at	3.911941352
1552770_s_at	4.398321275
1552771_a_at	3.178289535
1552772_at	3.677474988
1552773_at	3.798122916
1552774_a_at	4.217882859
1552775_at	4.306722837
1552777_a_at	3.515386539
1552779_a_at	4.106330785
1552782_at	3.775084186
1552783_at	2.998123606
1552785_at	3.011167854
1552787_at	4.100528975
1552788_a_at	5.239120707
1552789_at	4.224577626
1552790_a_at	6.917639189
1552791_a_at	2.627430227
1552792_at	3.552231658
1552793_at	3.670062722
1552794_a_at	3.238254363
1552796_a_at	3.660223401
1552797_s_at	6.087749835
1552798_a_at	6.975314871
1552799_at	3.991476953
1552800_at	6.392965343
1552801_at	3.730456497
1552803_a_at	3.30637494
1552804_a_at	5.710270787
1552806_a_at	4.046088655
1552807_a_at	6.478643979
1552808_at	2.749226935
1552809_at	3.151632395
1552811_at	6.106347915
1552812_a_at	4.711939042
1552813_at	5.0887112
1552814_a_at	4.114481853
1552816_at	2.949930421
1552818_a_at	3.137088899
1552819_at	4.077338066
1552822_at	2.830935785
1552825_at	3.330001199
1552826_at	2.654925116
1552827_s_at	2.935396848
1552828_at	3.751304564
1552829_at	4.560224055
1552830_at	3.409703339
1552833_at	6.152532176
1552834_at	6.440917255
1552835_at	3.41467334
1552836_at	5.661573232
1552837_at	2.613762806
1552839_at	3.325573507
1552841_s_at	2.893545438
1552842_at	4.024874674
1552843_at	3.793134318
1552845_at	6.534079584
1552846_s_at	6.072297451
1552848_a_at	3.862952484
1552849_at	3.068639058
1552851_at	2.731048904
1552852_a_at	2.767488523
1552853_at	3.650700212
1552854_a_at	4.631935325
1552856_at	3.468824039
1552857_a_at	3.609199888
1552858_at	2.871476558
1552860_at	3.589915724
1552862_at	4.949646506
1552863_a_at	6.672608049
1552865_a_at	5.400622347
1552867_at	7.49347045
1552868_at	5.816278047
1552870_s_at	6.841497306
1552872_at	4.824285295
1552873_s_at	5.54680833
1552875_a_at	3.347081038
1552876_at	2.930186053
1552877_s_at	4.278503084
1552878_at	2.687384033
1552879_a_at	3.662595341
1552880_at	5.187105213
1552882_a_at	3.973125361
