#Transcript position	Transcript coverage profile
0.0	7.420167982729907
1.0	21.220541928041442
2.0	33.167626103711235
3.0	46.04817501228604
4.0	57.58371753888698
5.0	65.26240357245258
6.0	70.09298279090918
7.0	72.45674718175813
8.0	74.01031882281939
9.0	77.61584117294376
10.0	79.9771389423874
11.0	84.52816444208754
12.0	89.01025724333745
13.0	89.82913745013906
14.0	88.849396069743
15.0	84.78662274149191
16.0	81.2707492144323
17.0	78.95451544987502
18.0	78.4216908389891
19.0	79.20475637081238
20.0	78.40505696051727
21.0	76.7951055976434
22.0	76.76347616778303
23.0	74.87833344815843
24.0	74.70298362210401
25.0	74.28321478129091
26.0	74.5794694574933
27.0	74.45036324488527
28.0	75.13694569282343
29.0	76.02805188192151
30.0	78.76745724014944
31.0	78.97970856714021
32.0	80.82789839425901
33.0	81.34240447923854
34.0	82.00905861639501
35.0	81.74402827265784
36.0	81.08949155144872
37.0	78.58739410044224
38.0	75.65093300160565
39.0	73.65725625789977
40.0	75.19402368328416
41.0	75.26040223600704
42.0	74.74351149069098
43.0	75.45388330999565
44.0	75.77521376278305
45.0	76.38437576902147
46.0	77.60241996215981
47.0	78.88816645114308
48.0	79.59672149136009
49.0	80.11066621018492
50.0	82.30089708945037
51.0	83.76317863466672
52.0	83.73500204697406
53.0	83.86377854322168
54.0	82.90906533045397
55.0	83.16519904126478
56.0	85.32111114653136
57.0	86.63918225962422
58.0	86.77598441262107
59.0	88.73086938711337
60.0	89.01018163969647
61.0	87.31973943886837
62.0	86.52679556844696
63.0	88.15218984718304
64.0	87.99811510223982
65.0	87.82629613894676
66.0	86.49495705457494
67.0	85.7772533574682
68.0	82.4842373167497
69.0	80.87358650248405
70.0	77.85701764594464
71.0	78.76829826005823
72.0	79.44744311586956
73.0	78.89859948813928
74.0	78.76181138378436
75.0	76.53405588804415
76.0	75.31102532572713
77.0	74.07574542996652
78.0	73.86920742494361
79.0	75.07941995656415
80.0	74.48267246326809
81.0	71.84132796099198
82.0	71.27047012793534
83.0	70.57673205875909
84.0	67.68863638651116
85.0	64.85051029552164
86.0	62.51839429261957
87.0	60.226605312916575
88.0	56.60511126521725
89.0	52.454600322478385
90.0	48.38533790499335
91.0	44.18377346698923
92.0	37.98231499646607
93.0	29.093534758646577
94.0	21.47003227557653
95.0	14.281176582713645
96.0	6.973467222576475
97.0	2.3187031066698576
98.0	0.6919184590583353
99.0	0.1152492394751932
