#Transcript position	Transcript coverage profile
0.0	8.59046385789323
1.0	24.719611811685873
2.0	40.05827157721649
3.0	55.37134300165546
4.0	68.65053799812324
5.0	78.74836416503206
6.0	85.07721588492059
7.0	89.34144082743148
8.0	91.65199070672207
9.0	96.3987518140174
10.0	99.5299794185253
11.0	103.959033983443
12.0	109.14739176139166
13.0	110.24314947087079
14.0	108.41856147329183
15.0	104.1318051595639
16.0	100.1786734759734
17.0	95.95940200158145
18.0	95.45240345997078
19.0	96.27471279485522
20.0	95.48111150946167
21.0	93.28268574236046
22.0	92.96043137241713
23.0	91.47210114116457
24.0	91.58442255478322
25.0	90.53561107059421
26.0	90.2739966905392
27.0	89.80444943740174
28.0	90.54904751595704
29.0	92.09120820687528
30.0	94.68210256728707
31.0	95.53290827793177
32.0	98.55480148132965
33.0	99.96877570986074
34.0	101.01590026184864
35.0	100.03710739073654
36.0	99.12004805886721
37.0	95.49763805991041
38.0	91.58983211529558
39.0	89.66150120486213
40.0	91.12831043998553
41.0	90.3854522253915
42.0	89.795039366937
43.0	89.93053054975672
44.0	89.81589819531375
45.0	90.72727970382866
46.0	92.91353864701374
47.0	94.14747919385871
48.0	95.60947280367999
49.0	96.08624997342223
50.0	98.04727595911189
51.0	98.11823872369216
52.0	97.94180787377128
53.0	100.21471805353357
54.0	99.3247584300773
55.0	98.33678307397399
56.0	101.18324383872036
57.0	102.8030433612639
58.0	102.9146545578696
59.0	105.16764618352016
60.0	104.0797565942306
61.0	102.9521237489785
62.0	101.76140588715394
63.0	102.6220450365075
64.0	101.49502209467337
65.0	101.39250905455556
66.0	100.12881688615809
67.0	100.85323466291953
68.0	97.63692671444005
69.0	95.21442332792621
70.0	92.44034017616613
71.0	93.609930912758
72.0	93.82341133028494
73.0	93.06046074300227
74.0	92.97694337108187
75.0	91.33382168925792
76.0	90.67348287196356
77.0	89.72005726854256
78.0	89.61622470811173
79.0	91.33890270139216
80.0	91.06897936239874
81.0	87.59300573624151
82.0	86.10792152060338
83.0	84.50996467274305
84.0	81.15040827526354
85.0	78.29403411194863
86.0	75.37016731376642
87.0	72.53866946427542
88.0	68.91926133092713
89.0	62.54417844315043
90.0	57.87801395896252
91.0	52.81133002948149
92.0	44.83284753021493
93.0	34.00625249790208
94.0	25.480434714153443
95.0	16.833924641228755
96.0	8.840246249351644
97.0	2.9750853844528447
98.0	0.9642906071217817
99.0	0.077663260376474
